MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
131,1,Division II,hockingcollege,Zion Rhoades,,,,Wing,,,15,3.6875,3.5000000000000004,4.25,3,14.266666666666667,8.866666666666667,2.2,1.8,1.4666666666666666,0.4666666666666667,2.1333333333333333,10.133333333333333,1.0,4.0,3.8,5.066666666666666,0.5997757847533632,0.569078947368421,104.18695228821811,0.16001869741352445,1.2222222222222223,0.1314508276533593,0.2,0.09868421052631579,0.39473684210526316,2.4269662921348316,2.606741573033708,11.955056179775282,2.8764044943820224,Very Good,4,Average,3,Average,3,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Elite,5,Unknown
1641,2,Division II,hockingcollege,Sean Harmon,,,,Wing,,,14,2.7225,2.2,3.35,3,12.428571428571429,2.7857142857142856,3.9285714285714284,2.4285714285714284,1.9285714285714286,0.14285714285714285,1.2857142857142858,11.928571428571429,7.714285714285714,2.0714285714285716,0.9285714285714286,1.8571428571428572,0.4839786381842457,0.47305389221556887,81.3997005988024,0.18201634877384193,1.6176470588235294,0.1590568862275449,0.2777777777777778,0.6467065868263473,0.17365269461077845,3.3186920448999513,2.8306490971205465,3.8067349926793557,1.7569546120058566,Poor,1,Average,3,Poor,1,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Average,3,Below Average,2,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
1734,3,Division II,hockingcollege,Tariq Johnson,,,,Wing,,,15,2.6775,2.6000000000000005,2.6500000000000004,3,18.666666666666668,4.8,0.9333333333333333,2.8,1.3333333333333333,0.2,2.4,14.733333333333333,3.533333333333333,7.866666666666666,1.1333333333333333,3.6666666666666665,0.5129708339440129,0.4502262443438914,88.91146957957577,0.24534122779682144,0.3333333333333333,0.13336720436936364,0.20754716981132076,0.2398190045248869,0.5339366515837104,3.7752808988764044,2.067415730337079,6.47191011235955,3.235955056179775,Below Average,2,Elite,5,Poor,1,Poor,1,Very Good,4,Poor,1,Very Good,4,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Very Good,4,Average,3,Unknown
2665,4,Division II,hockingcollege,Scotty Telfair,,,,Wing,,,15,2.3899999999999997,2.2,2.4,3,7.666666666666667,7.8,0.7333333333333333,1.6666666666666667,0.2,0.13333333333333333,2.8666666666666667,4.933333333333334,0.6,3.8666666666666667,3.066666666666667,4.733333333333333,0.5777733118971061,0.581081081081081,92.35464182460649,0.097008413836086,0.44,0.20077096048827497,0.4444444444444444,0.12162162162162163,0.7837837837837838,2.247191011235955,0.449438202247191,10.51685393258427,3.865168539325843,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Very Good,4,Average,3,Elite,5,Unknown
2734,5,Division II,hockingcollege,AJ Green,,,,Wing,,,13,2.37,2.3,2.2,3,5.384615384615385,2.769230769230769,2.1538461538461537,1.3076923076923077,1.0769230769230769,0.23076923076923078,2.5384615384615383,4.3076923076923075,2.0,1.6153846153846154,0.6923076923076923,2.076923076923077,0.536480686695279,0.5178571428571429,85.11673151750973,0.07613686861205748,1.6470588235294117,0.20671206225680935,0.3076923076923077,0.4642857142857143,0.375,1.8008474576271187,1.8008474576271187,3.8135593220338984,3.4957627118644066,Average,3,Poor,1,Poor,1,Very Good,4,Poor,1,Below Average,2,Average,3,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
2883,6,Division II,hockingcollege,Mouhamadu Seck,,,,Wing,,,12,2.325,2.3500000000000005,2.0,3,5.333333333333333,3.3333333333333335,0.5,1.0833333333333333,0.25,0.75,1.4166666666666667,3.5833333333333335,0.25,2.3333333333333335,1.25,2.0833333333333335,0.5784526391901663,0.5813953488372093,93.6768149882904,0.06885153384125448,0.46153846153846156,0.1902810304449649,0.0,0.06976744186046512,0.6511627906976745,1.5037593984962405,1.3880855986119145,4.626951995373048,1.9664545980335455,Very Good,4,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3614,7,Division II,hockingcollege,Ray Davenport Jimenez,,,,Wing,,,6,2.15,2.0,2.0,3,1.0,0.6666666666666666,0.0,0.5,0.0,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.5,0.5639097744360902,0.5,72.11538461538461,0.017270009963467288,0.0,0.3605769230769231,0.0,0.25,0.75,0.7361963190184049,0.0,0.9815950920245399,0.49079754601226994,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4229,8,Division II,hockingcollege,Shamar Mills-Smith,,,,Wing,,,10,1.95,1.6,2.0,3,0.7,0.3,0.5,0.5,0.5,0.0,1.0,2.1,1.0,0.2,0.1,0.2,0.15996343692870202,0.14285714285714285,26.041666666666668,0.032960565038257804,1.0,0.18601190476190477,0.0,0.47619047619047616,0.09523809523809523,0.7067137809187279,0.7067137809187279,0.42402826855123676,1.4134275618374559,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4419,9,Division II,hockingcollege,Coleson Christus,,,,Wing,,,14,1.8625,1.6,1.75,3,3.7142857142857144,2.2857142857142856,0.7142857142857143,1.7857142857142858,0.7857142857142857,0.14285714285714285,2.357142857142857,3.5,0.6428571428571429,1.7142857142857142,0.8571428571428571,1.4285714285714286,0.4365345869711215,0.3673469387755102,61.49479659413434,0.07200272479564032,0.4,0.2956480605487228,0.2222222222222222,0.1836734693877551,0.4897959183673469,2.440214738897023,1.268911664226452,3.1234748657881894,3.22108345534407,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
4455,10,Division II,hockingcollege,Rakim White,,,,Wing,,,9,1.8499999999999999,1.4,2.0,3,0.6666666666666666,0.7777777777777778,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.0,0.7777777777777778,1.1111111111111112,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.2873563218390805,0.3,41.551246537396125,0.020539371870732816,1.0,0.2770083102493075,0.0,0.3,0.1,0.6584362139917695,0.49382716049382713,1.1522633744855968,1.1522633744855968,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
