MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
481,1,Division II,louisburgcollege,Donovan Majette,,,,Wing,,,12,3.2725,3.3000000000000003,3.35,3,14.416666666666666,4.5,0.75,1.4166666666666667,1.75,0.6666666666666666,2.0,11.916666666666666,7.083333333333333,0.8333333333333334,1.0,3.5,0.5868385345997286,0.5769230769230769,105.23114355231144,0.1564284083124001,0.5294117647058824,0.10340632603406326,0.3411764705882353,0.5944055944055944,0.06993006993006994,1.7471736896197327,2.9804727646454263,5.549845837615622,2.4665981500513876,Very Good,4,Average,3,Average,3,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Poor,1,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
612,2,Division II,louisburgcollege,Nehemiah McDonald,,,,Wing,,,12,3.17,3.5500000000000003,2.7,3,15.416666666666666,6.166666666666667,0.25,1.8333333333333333,1.8333333333333333,0.16666666666666666,3.25,10.25,4.083333333333333,6.5,2.0,4.166666666666667,0.5879735570811085,0.540650406504065,103.16752174882892,0.17062495242445003,0.13636363636363635,0.1226857015391479,0.3469387755102041,0.3983739837398374,0.6341463414634146,2.2610483042137717,2.4665981500513876,7.605344295991778,4.008221993833504,Very Good,4,Average,3,Average,3,Poor,1,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Below Average,2,Average,3,Elite,5,Unknown
881,3,Division II,louisburgcollege,Kristian Hodges,,,,Wing,,,8,3.0225,3.5000000000000004,2.3499999999999996,3,11.0,8.125,0.25,0.875,0.625,0.25,2.875,7.625,1.875,3.75,2.5,5.625,0.5929919137466307,0.5737704918032787,108.3743842364532,0.11645918191727385,0.2857142857142857,0.08620689655172413,0.26666666666666666,0.2459016393442623,0.4918032786885246,1.1067193675889329,1.1067193675889329,10.276679841897232,3.6363636363636362,Very Good,4,Poor,1,Very Good,4,Poor,1,Elite,5,Insufficient Volume,3,Average,3,Average,3,Elite,5,Elite,5,Poor,1,Average,3,Very Good,4,Elite,5,Unknown
967,4,Division II,louisburgcollege,James Harris,,,,Wing,,,12,2.9750000000000005,3.650000000000001,2.0,3,2.1666666666666665,1.4166666666666667,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.3333333333333333,1.4166666666666667,0.9166666666666666,0.16666666666666666,0.3333333333333333,1.0833333333333333,0.727069351230425,0.7058823529411765,130.784708249497,0.018916038669407016,1.0,0.1006036217303823,0.5454545454545454,0.6470588235294118,0.11764705882352941,0.20554984583761562,0.20554984583761562,1.7471736896197327,0.41109969167523125,Elite,5,Poor,1,Elite,5,Below Average,2,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
978,5,Division II,louisburgcollege,Julien Leveille,,,,Wing,,,12,2.9749999999999996,3.65,2.0,3,5.5,1.1666666666666667,0.5,0.5833333333333334,0.5,0.08333333333333333,1.0833333333333333,3.0,1.3333333333333333,1.25,0.16666666666666666,1.0,0.7746478873239436,0.7083333333333334,133.06451612903226,0.04719494557357083,0.8571428571428571,0.1411290322580645,0.4375,0.4444444444444444,0.4166666666666667,0.7194244604316546,0.7194244604316546,1.4388489208633093,1.3360739979445015,Elite,5,Poor,1,Elite,5,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1106,6,Division II,louisburgcollege,Jayde Braswell,,,,Wing,,,12,2.92,3.4,2.2,3,11.666666666666666,2.5833333333333335,2.9166666666666665,2.25,1.4166666666666667,0.08333333333333333,2.5,8.083333333333334,3.0,3.4166666666666665,0.25,2.3333333333333335,0.6084840055632824,0.5360824742268041,98.56378484933822,0.13515262236431452,1.2962962962962963,0.19008729935229515,0.4444444444444444,0.3711340206185567,0.422680412371134,2.774922918807811,1.8499486125385407,3.1860226104830422,3.0832476875642345,Elite,5,Below Average,2,Below Average,2,Average,3,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Very Good,4,Very Good,4,Unknown
1684,7,Division II,louisburgcollege,Robbie Knotts III,,,,Wing,,,12,2.6875,3.2499999999999996,1.75,3,6.416666666666667,2.6666666666666665,2.75,1.0833333333333333,0.6666666666666666,0.25,2.9166666666666665,4.166666666666667,2.0833333333333335,2.4166666666666665,0.16666666666666666,2.5,0.6134480560866794,0.6,101.63674762407604,0.07208647331963157,2.5384615384615383,0.1715945089757128,0.32,0.5,0.58,1.3360739979445015,1.1305241521068858,3.28879753340185,3.597122302158273,Elite,5,Poor,1,Below Average,2,Elite,5,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2048,8,Division II,louisburgcollege,Cameron Barnes,,,,Wing,,,12,2.5575,2.5,2.45,3,3.1666666666666665,1.0833333333333333,0.5833333333333334,0.25,0.9166666666666666,0.3333333333333333,1.25,3.6666666666666665,1.9166666666666667,0.6666666666666666,0.3333333333333333,0.75,0.3998316498316498,0.375,75.21773555027711,0.04807033569308061,2.3333333333333335,0.05938242280285035,0.21739130434782608,0.5227272727272727,0.18181818181818182,0.30832476875642345,1.5416238437821173,1.3360739979445015,1.5416238437821173,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2256,9,Division II,louisburgcollege,Isaiah Smith,,,,Wing,,,12,2.4825,2.35,2.45,3,16.75,4.75,3.1666666666666665,2.9166666666666665,1.5,0.08333333333333333,1.8333333333333333,15.25,3.5,4.666666666666667,1.3333333333333333,3.4166666666666665,0.48401078790213836,0.45081967213114754,82.83877349159249,0.2308746289107102,1.0857142857142856,0.1442466205077481,0.21428571428571427,0.22950819672131148,0.30601092896174864,3.597122302158273,1.9527235354573484,5.858170606372045,2.2610483042137717,Poor,1,Elite,5,Poor,1,Below Average,2,Average,3,Poor,1,Very Good,4,Average,3,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
3272,10,Division II,louisburgcollege,Torry Brown,,,,Wing,,,10,2.2,2.1,2.0,3,2.8,0.4,1.1,0.7,0.7,0.2,2.1,2.4,1.7,1.3,0.1,0.3,0.47106325706594887,0.4166666666666667,76.25272331154684,0.04103160058999687,1.5714285714285714,0.1906318082788671,0.23529411764705882,0.7083333333333334,0.5416666666666666,0.851063829787234,1.094224924012158,0.48632218844984804,2.5531914893617023,Poor,1,Poor,1,Poor,1,Very Good,4,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
