MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
463,1,Division I,seminolestatecollege,Marco Smith,,,,Wing,,,12,3.2225,3.1999999999999997,3.35,3,13.166666666666666,8.833333333333334,1.25,1.25,1.1666666666666667,0.3333333333333333,2.3333333333333335,10.416666666666666,2.9166666666666665,2.4166666666666665,2.75,6.083333333333333,0.5734610917537747,0.564,103.43021733438073,0.14026517794836008,1.0,0.09819324430479183,0.2571428571428571,0.28,0.232,1.5690376569037656,1.8828451882845187,11.087866108786612,2.928870292887029,Very Good,4,Below Average,2,Average,3,Below Average,2,Elite,5,Poor,1,Average,3,Very Good,4,Very Good,4,Elite,5,Below Average,2,Very Good,4,Elite,5,Elite,5,Unknown
670,2,Division I,seminolestatecollege,Joseph Hunter,,,,Wing,,,14,3.0874999999999995,3.3499999999999996,2.75,3,17.642857142857142,6.928571428571429,4.285714285714286,3.357142857142857,1.2857142857142858,0.21428571428571427,1.5714285714285714,11.428571428571429,0.42857142857142855,5.285714285714286,2.0,4.928571428571429,0.6413585375986706,0.603125,103.10569377191517,0.18376238838943268,1.2765957446808511,0.19619302053765236,0.16666666666666666,0.0375,0.4625,4.117389399912396,1.8396846254927726,8.497590889180902,1.9272886552781427,Elite,5,Average,3,Average,3,Average,3,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Below Average,2,Elite,5,Average,3,Unknown
878,3,Division I,seminolestatecollege,Dylan Golightly,,,,Wing,,,11,2.9650000000000007,3.0000000000000004,2.9000000000000004,3,14.363636363636363,5.363636363636363,1.2727272727272727,1.0,1.3636363636363635,0.36363636363636365,1.5454545454545454,11.181818181818182,6.0,5.454545454545454,2.0,3.3636363636363638,0.5287817938420348,0.47560975609756095,98.50374064837905,0.1578056747078037,1.2727272727272727,0.0685785536159601,0.25757575757575757,0.5365853658536586,0.4878048780487805,1.2394366197183098,2.140845070422535,6.647887323943662,1.9154929577464788,Below Average,2,Average,3,Below Average,2,Average,3,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1006,4,Division I,seminolestatecollege,Jaylan Jackson,,,,Wing,,,13,2.9074999999999998,3.2,2.45,3,5.846153846153846,4.461538461538462,1.2307692307692308,0.6153846153846154,0.3076923076923077,0.9230769230769231,2.0,4.230769230769231,0.3076923076923077,2.230769230769231,1.3076923076923077,3.1538461538461537,0.5608028335301062,0.5181818181818182,100.31678986272439,0.06326407909680005,2.0,0.10559662090813093,0.25,0.07272727272727272,0.5272727272727272,0.7611798287345385,1.522359657469077,5.518553758325404,2.47383444338725,Average,3,Poor,1,Below Average,2,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1591,5,Division I,seminolestatecollege,Jamarri Simpson,,,,Wing,,,14,2.6575000000000006,2.7000000000000006,2.45,3,7.357142857142857,2.5,1.5714285714285714,1.0714285714285714,0.9285714285714286,0.2857142857142857,1.5,6.142857142857143,3.2142857142857144,1.7142857142857142,0.5,2.0,0.5333471416735708,0.4941860465116279,92.32699892434565,0.08557577245251757,1.4666666666666666,0.13445679455001794,0.3333333333333333,0.5232558139534884,0.27906976744186046,1.314060446780552,1.4892685063512923,3.0661410424879545,1.8396846254927726,Average,3,Poor,1,Poor,1,Average,3,Very Good,4,Average,3,Very Good,4,Elite,5,Very Good,4,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2110,6,Division I,seminolestatecollege,Ejay Greer,,,,Wing,,,14,2.4575000000000005,2.3000000000000003,2.45,3,10.357142857142858,4.785714285714286,2.7142857142857144,2.0714285714285716,1.0,0.2857142857142857,2.0714285714285716,9.214285714285714,4.142857142857143,2.4285714285714284,1.2142857142857142,3.5714285714285716,0.5036121144762433,0.4689922480620155,83.83441258094356,0.13267466478475654,1.3103448275862069,0.16766882516188714,0.25862068965517243,0.4496124031007752,0.26356589147286824,2.540516863775734,1.5768725361366622,5.869469995619799,2.540516863775734,Below Average,2,Below Average,2,Poor,1,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Very Good,4,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2656,7,Division I,seminolestatecollege,Christian Cummings,,,,Wing,,,10,2.3075,2.0,2.45,3,4.6,2.8,2.5,1.4,1.4,0.0,1.4,4.4,2.0,1.9,1.1,1.7,0.439266615737204,0.42045454545454547,69.31886678722122,0.06924329062147837,1.7857142857142858,0.2109704641350211,0.15,0.45454545454545453,0.4318181818181818,1.6726403823178018,1.6726403823178018,3.3452807646356035,1.6726403823178018,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3095,8,Division I,seminolestatecollege,Montae Collins,,,,Wing,,,13,2.175,2.05,2.0,3,3.0,1.6923076923076923,2.6923076923076925,1.2307692307692308,0.5384615384615384,0.07692307692307693,1.5384615384615385,2.769230769230769,1.1538461538461537,1.0,0.23076923076923078,1.4615384615384615,0.46740172579098754,0.4444444444444444,67.56756756756756,0.04766938654157444,2.1875,0.2772002772002772,0.26666666666666666,0.4166666666666667,0.3611111111111111,1.507300989166274,0.753650494583137,2.0725388601036268,1.8841262364578426,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3234,9,Division I,seminolestatecollege,Jase Edwards,,,,Wing,,,7,2.15,2.0,2.0,3,3.7142857142857144,2.0,1.2857142857142858,1.0,0.42857142857142855,0.0,0.42857142857142855,4.857142857142857,2.2857142857142856,1.0,0.2857142857142857,1.7142857142857142,0.35059331175836034,0.3235294117647059,58.98366606170599,0.06451990632318502,1.2857142857142858,0.1588021778584392,0.25,0.47058823529411764,0.20588235294117646,1.1676396997497915,0.5004170141784821,2.335279399499583,0.5004170141784821,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3894,10,Division I,seminolestatecollege,Ming-Hsueh Cheng,,,,Wing,,,13,1.95,1.5999999999999999,2.0,3,6.076923076923077,3.923076923076923,0.46153846153846156,1.2307692307692308,0.5384615384615384,0.3076923076923077,1.8461538461538463,6.3076923076923075,2.6153846153846154,1.3076923076923077,0.9230769230769231,3.0,0.4414394278050961,0.40853658536585363,74.89571482745544,0.08627515131686571,0.375,0.15168752370117558,0.14705882352941177,0.4146341463414634,0.2073170731707317,1.496026180458158,1.0285179990649835,4.768583450210379,2.244039270687237,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
