MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
152,1,Division I,indianriverstatecollege,Caleb Cameron&nbsp;,,,,Wing,,,14,3.63,3.7000000000000006,3.8,3,13.571428571428571,5.5,2.5714285714285716,1.6428571428571428,2.2142857142857144,1.2857142857142858,2.2857142857142856,8.785714285714286,1.0714285714285714,5.214285714285714,2.5,3.0,0.612429087158329,0.5853658536585366,106.66966090276217,0.13158594604178364,1.565217391304348,0.12912643161913318,0.4,0.12195121951219512,0.5934959349593496,1.9853258523953388,4.229607250755287,6.646525679758308,2.7621924902891672,Elite,5,Below Average,2,Average,3,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
891,2,Division I,indianriverstatecollege,Arlindo Bernardo,,,,Wing,,,14,3.0250000000000004,3.75,2.0,3,6.571428571428571,2.4285714285714284,0.35714285714285715,0.5714285714285714,0.5714285714285714,0.5,1.2857142857142858,4.571428571428571,0.9285714285714286,1.1428571428571428,0.8571428571428571,1.5714285714285714,0.6475225225225225,0.640625,116.39676113360323,0.058390709494400284,0.625,0.10121457489878542,0.46153846153846156,0.203125,0.25,0.6905481225722918,1.294777729823047,2.93482952093224,1.5537332757876565,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1010,3,Division I,indianriverstatecollege,Tamiel Green,,,,Wing,,,14,2.9725,2.7,3.35,3,10.214285714285714,8.928571428571429,0.6428571428571429,1.7142857142857142,0.6428571428571429,0.9285714285714286,1.5714285714285714,7.642857142857143,0.07142857142857142,2.9285714285714284,2.857142857142857,6.071428571428571,0.5718170185540628,0.5327102803738317,95.94739667203436,0.1125,0.375,0.16103059581320453,0.0,0.009345794392523364,0.38317757009345793,2.1257750221434897,1.9486271036315324,11.071744906997342,1.9486271036315324,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Below Average,2,Very Good,4,Elite,5,Elite,5,Unknown
1082,4,Division I,indianriverstatecollege,Adam Squire,,,,Wing,,,18,2.9400000000000004,2.9499999999999997,2.9000000000000004,3,13.277777777777779,3.7222222222222223,4.333333333333333,2.0,1.6111111111111112,0.05555555555555555,2.2777777777777777,11.88888888888889,6.833333333333333,2.6666666666666665,0.8333333333333334,2.888888888888889,0.5082511058183056,0.4672897196261682,88.15284744762467,0.1579327539203579,2.1666666666666665,0.13278253172027146,0.3252032520325203,0.5747663551401869,0.22429906542056074,2.462380300957592,2.0519835841313268,4.582763337893297,2.80437756497948,Below Average,2,Average,3,Poor,1,Elite,5,Very Good,4,Average,3,Elite,5,Elite,5,Very Good,4,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1273,5,Division I,indianriverstatecollege,Anthony Ferrer,,,,Wing,,,17,2.8500000000000005,3.4000000000000004,2.0,3,15.117647058823529,2.7058823529411766,0.7058823529411765,1.1176470588235294,0.5882352941176471,0.0,1.3529411764705883,11.882352941176471,8.764705882352942,4.0,1.0,1.7058823529411764,0.5540703690927906,0.4975247524752475,102.42308305435995,0.1541997492687004,0.631578947368421,0.0757213454487486,0.3288590604026846,0.7376237623762376,0.33663366336633666,1.3778100072516317,0.7251631617113851,3.335750543872371,1.6678752719361856,Average,3,Average,3,Average,3,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1890,6,Division I,indianriverstatecollege,Terryon Stebbins,,,,Wing,,,18,2.6224999999999996,2.0,3.35,3,7.055555555555555,4.944444444444445,2.388888888888889,1.6666666666666667,1.7777777777777777,0.7777777777777778,2.0,6.0,1.6111111111111112,2.5,1.5,3.4444444444444446,0.4968701095461659,0.4537037037037037,80.48162230671736,0.09192161614278724,1.4333333333333333,0.19011406844106463,0.27586206896551724,0.26851851851851855,0.4166666666666667,2.0519835841313268,3.146374829001368,6.087551299589603,2.462380300957592,Below Average,2,Poor,1,Poor,1,Average,3,Below Average,2,Poor,1,Below Average,2,Very Good,4,Elite,5,Below Average,2,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
2150,7,Division I,indianriverstatecollege,Caleb Rivera,,,,Wing,,,14,2.5324999999999998,2.45,2.45,3,6.571428571428571,2.357142857142857,2.0,1.5,1.5714285714285714,0.0,1.8571428571428572,5.071428571428571,3.4285714285714284,1.4285714285714286,0.6428571428571429,1.7142857142857142,0.5764411027568922,0.5352112676056338,91.26984126984127,0.0744658845778789,1.3333333333333333,0.20833333333333334,0.3333333333333333,0.676056338028169,0.28169014084507044,1.8126888217522659,1.8990073370738023,2.8485110056107037,2.244281398359948,Very Good,4,Poor,1,Poor,1,Average,3,Poor,1,Average,3,Very Good,4,Elite,5,Very Good,4,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2493,8,Division I,indianriverstatecollege,Isiah Cameron,,,,Wing,,,14,2.4400000000000004,1.9500000000000002,2.9000000000000004,3,7.5,4.5,1.8571428571428572,2.2142857142857144,1.3571428571428572,0.5714285714285714,1.9285714285714286,6.357142857142857,1.3571428571428572,2.642857142857143,2.0714285714285716,2.4285714285714284,0.49867021276595747,0.4438202247191011,77.04725565013209,0.10067669395112437,0.8387096774193549,0.22747285001467565,0.2631578947368421,0.21348314606741572,0.4157303370786517,2.6758739749676304,2.3305999136814846,5.438066465256798,2.3305999136814846,Below Average,2,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
3002,9,Division I,indianriverstatecollege,Jacorey Washington,,,,Wing,,,12,2.3,2.3,2.0,3,1.5,1.25,1.0833333333333333,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.16666666666666666,2.0833333333333335,0.5,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.30612244897959184,0.24,52.32558139534884,0.029471231280627803,2.6,0.14534883720930233,0.0,0.24,0.4,0.501002004008016,0.6012024048096193,1.503006012024048,0.20040080160320642,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3380,10,Division I,indianriverstatecollege,Sharief Parks,,,,Wing,,,11,2.2,2.1,2.0,3,3.5454545454545454,3.6363636363636362,0.18181818181818182,1.0909090909090908,0.2727272727272727,0.09090909090909091,1.0909090909090908,2.6363636363636362,0.09090909090909091,0.36363636363636365,1.4545454545454546,2.1818181818181817,0.6339401820546163,0.6379310344827587,91.2067352666043,0.04007647896828372,0.16666666666666666,0.2806361085126286,1.0,0.034482758620689655,0.13793103448275862,1.3050570962479608,0.43501903208265363,4.3501903208265364,1.3050570962479608,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
