MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
311,1,Division I,murraystatecollege,Haki Muhammad ii,11,,G,Guard,6'2,,11,3.37,4.0,2.2,4,20.727272727272727,2.090909090909091,1.1818181818181819,1.6363636363636365,1.0909090909090908,0.09090909090909091,0.9090909090909091,13.909090909090908,6.7272727272727275,6.545454545454546,0.6363636363636364,1.4545454545454546,0.6172839506172839,0.5424836601307189,112.49259917110716,0.19960606657474886,0.7222222222222222,0.08880994671403197,0.40540540540540543,0.48366013071895425,0.47058823529411764,2.0089285714285716,1.4508928571428572,2.5669642857142856,1.1160714285714286,Elite,5,Average,3,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
356,2,Division I,murraystatecollege,Abeeng Agot,4,,G/F,Wing,6'6,,9,3.3175000000000003,2.9500000000000006,3.55,4,12.666666666666666,4.222222222222222,1.1111111111111112,2.888888888888889,1.7777777777777777,2.0,2.6666666666666665,7.777777777777778,1.7777777777777777,3.888888888888889,1.3333333333333333,2.888888888888889,0.667447306791569,0.6357142857142857,102.33393177737881,0.13545719844357978,0.38461538461538464,0.23339317773788149,0.4375,0.22857142857142856,0.5,3.5543403964456597,4.6479835953520166,5.194805194805195,3.2809295967190706,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Very Good,4,Average,3,Very Good
673,3,Division I,murraystatecollege,Malachi Schilreff,5,,G,Guard,6'1,,12,3.0825000000000005,2.8000000000000003,3.5500000000000003,3,8.75,6.416666666666667,2.0833333333333335,1.75,1.75,0.6666666666666666,3.0,5.583333333333333,1.5833333333333333,2.8333333333333335,1.75,4.666666666666667,0.6405563689604684,0.6194029850746269,101.98135198135198,0.09395532194480946,1.1904761904761905,0.20396270396270394,0.3684210526315789,0.2835820895522388,0.5074626865671642,2.1604938271604937,2.983539094650206,7.921810699588478,3.7037037037037037,Elite,5,Poor,1,Average,3,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Very Good,4,Average,3,Average,3,Elite,5,Average
936,4,Division I,murraystatecollege,Aymen Kraria,1,,F,Wing,6'6,,14,2.9425000000000003,2.2,3.55,4,6.642857142857143,8.428571428571429,4.571428571428571,2.4285714285714284,1.2142857142857142,0.5714285714285714,2.5,5.642857142857143,2.5714285714285716,2.4285714285714284,3.2857142857142856,5.142857142857143,0.4948914431673052,0.4810126582278481,72.6789621756799,0.10234834911696955,1.8823529411764706,0.26570803376055013,0.3333333333333333,0.45569620253164556,0.43037974683544306,3.0881017257039054,2.270663033605813,10.717529518619436,3.178928247048138,Below Average,2,Poor,1,Poor,1,Very Good,4,Poor,1,Average,3,Average,3,Elite,5,Elite,5,Below Average,2,Average,3,Very Good,4,Very Good,4,Very Good,4,Very Good
1171,5,Division I,murraystatecollege,Devon Maccollister,2,,PG,Guard,6'0,,14,2.83,3.1999999999999997,2.2,3,2.2857142857142856,1.2857142857142858,1.4285714285714286,0.5,0.7857142857142857,0.07142857142857142,0.6428571428571429,1.4285714285714286,1.0714285714285714,1.0714285714285714,0.35714285714285715,0.9285714285714286,0.6015037593984962,0.5,95.23809523809524,0.026874840030714105,2.857142857142857,0.20833333333333331,0.4,0.75,0.75,0.6357856494096276,1.0899182561307903,1.6348773841961852,0.8174386920980926,Elite,5,Poor,1,Below Average,2,Elite,5,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Average
1229,6,Division I,murraystatecollege,Tayesen Combs,3,,G,Guard,6'2,,14,2.8024999999999998,2.65,2.7,4,10.5,2.7857142857142856,1.4285714285714286,1.5714285714285714,1.5,0.42857142857142855,2.7142857142857144,9.071428571428571,6.142857142857143,1.1428571428571428,0.8571428571428571,1.9285714285714286,0.5483437779767234,0.5393700787401575,94.20661368879774,0.12480803685692346,0.9090909090909091,0.1409894898743912,0.38372093023255816,0.6771653543307087,0.12598425196850394,1.9981834695731153,2.4523160762942777,3.542234332425068,3.4514078110808355,Average,3,Poor,1,Below Average,2,Poor,1,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Very Good,4,Average,3,Poor,1,Average,3,Elite,5,Very Good
1446,7,Division I,murraystatecollege,Oliver Wilson,15,,F,Big,6'9,,6,2.725,3.3,1.6,4,2.0,1.8333333333333333,0.0,0.3333333333333333,0.0,0.5,1.0,1.0,0.0,1.5,0.5,1.3333333333333333,0.6024096385542168,0.6666666666666666,100.3344481605351,0.021062271062271064,0.0,0.16722408026755853,,0.0,1.5,0.39800995024875624,0.5970149253731343,2.189054726368159,1.1940298507462686,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
2212,8,Division I,murraystatecollege,Domantas Sarauskas,,,,Wing,,,13,2.4325,2.25,2.45,3,7.3076923076923075,3.769230769230769,1.9230769230769231,1.6153846153846154,0.5384615384615384,0.6153846153846154,2.076923076923077,5.3076923076923075,1.3076923076923077,2.5384615384615383,1.3846153846153846,2.3846153846153846,0.5687260536398467,0.5362318840579711,90.89169536930731,0.09218231849290906,1.1904761904761905,0.20091848450057406,0.47058823529411764,0.2463768115942029,0.4782608695652174,2.0864381520119224,1.4903129657228018,4.868355688027819,2.682563338301043,Average,3,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2270,9,Division I,murraystatecollege,Ashton Smith,0,,PG,Guard,6'1,,14,2.4175000000000004,2.45,2.2,3,14.0,2.642857142857143,2.357142857142857,2.0,1.2142857142857142,0.0,1.7142857142857142,11.785714285714286,5.785714285714286,4.214285714285714,0.6428571428571429,2.0,0.5131964809384164,0.4484848484848485,89.51406649616368,0.17513437420015357,1.1785714285714286,0.1278772378516624,0.345679012345679,0.4909090909090909,0.3575757575757576,2.5431425976385102,1.5440508628519527,3.360581289736603,2.1798365122615806,Below Average,2,Average,3,Poor,1,Below Average,2,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Average
3323,10,Division I,murraystatecollege,Tom Sutton,14,,G/F,Wing,6'6,,12,2.125,1.65,2.0,4,2.1666666666666665,1.6666666666666667,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.08333333333333333,0.5833333333333334,2.3333333333333335,1.4166666666666667,0.5833333333333334,0.6666666666666666,1.0,0.4182754182754183,0.375,61.78707224334601,0.03959799751571498,1.0,0.26140684410646386,0.17647058823529413,0.6071428571428571,0.25,1.177730192719486,0.5353319057815846,2.1413276231263385,0.7494646680942184,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
