MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
12,1,Division I,uscsalkehatchie,Gavin Ward,,,,Wing,,,16,4.1850000000000005,4.6000000000000005,4.1,3,18.8125,6.9375,2.125,0.5625,2.3125,1.125,1.5,12.4375,5.5625,2.875,2.375,4.5625,0.6864623243933589,0.6557788944723618,131.87872415001752,0.12253312431550242,3.7777777777777777,0.03943217665615142,0.4606741573033708,0.4472361809045226,0.23115577889447236,0.5819592628516004,3.556417717426447,7.177497575169738,1.5518913676042676,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Below Average,2,Elite,5,Elite,5,Unknown
158,2,Division I,uscsalkehatchie,Sebastian Kramar,,,,Wing,,,17,3.6224999999999996,4.0,3.35,3,17.058823529411764,3.0588235294117645,5.882352941176471,2.588235294117647,2.411764705882353,0.058823529411764705,2.764705882352941,9.764705882352942,2.235294117647059,7.705882352941177,1.1764705882352942,1.8823529411764706,0.6483634412448579,0.5843373493975904,108.3545060529069,0.1373950183782008,2.272727272727273,0.16439994021820356,0.3684210526315789,0.2289156626506024,0.7891566265060241,2.72699101332507,2.6030368763557483,3.2228075612023552,2.9129222187790518,Elite,5,Below Average,2,Very Good,4,Elite,5,Average,3,Very Good,4,Average,3,Average,3,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
985,3,Division I,uscsalkehatchie,Roman Cooley,,,,Wing,,,16,2.9800000000000004,3.45,2.3,3,11.4375,6.9375,0.9375,1.1875,0.9375,0.1875,2.375,7.375,0.6875,3.75,3.125,3.8125,0.6336565096952909,0.5805084745762712,111.99510403916769,0.08965214528695273,0.7894736842105263,0.11627906976744186,0.45454545454545453,0.09322033898305085,0.5084745762711864,1.255783212161269,1.1896893588896233,7.336417713152676,2.511566424322538,Elite,5,Poor,1,Very Good,4,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
1021,4,Division I,uscsalkehatchie,Maleek Taylor,,,,Wing,,,14,2.965,3.0,2.9000000000000004,3,7.071428571428571,4.071428571428571,0.35714285714285715,1.2857142857142858,0.9285714285714286,1.0,2.0714285714285716,4.357142857142857,0.07142857142857142,1.6428571428571428,1.7142857142857142,2.357142857142857,0.6960067491563554,0.7049180327868853,111.08617594254936,0.05593633099846854,0.2777777777777778,0.20197486535008977,0.0,0.01639344262295082,0.3770491803278688,1.3574660633484164,2.0361990950226243,4.298642533936651,2.1870286576168927,Elite,5,Poor,1,Very Good,4,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1098,5,Division I,uscsalkehatchie,Jeremaih McCain,,,,Wing,,,14,2.9275,3.0999999999999996,2.6500000000000004,3,12.071428571428571,2.9285714285714284,2.7142857142857144,2.2142857142857144,2.2142857142857144,0.21428571428571427,3.0714285714285716,8.214285714285714,1.0,1.9285714285714286,1.0,1.9285714285714286,0.6659836065573771,0.6347826086956522,107.0433240435774,0.09943317798211362,1.2258064516129032,0.1963516594882189,0.42857142857142855,0.12173913043478261,0.23478260869565218,2.339622641509434,2.5660377358490565,3.0943396226415096,3.2452830188679247,Elite,5,Poor,1,Average,3,Average,3,Below Average,2,Insufficient Volume,3,Below Average,2,Below Average,2,Very Good,4,Elite,5,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
1300,6,Division I,uscsalkehatchie,Jy Gladden,,,,Wing,,,17,2.8475,2.45,3.35,3,7.9411764705882355,5.294117647058823,3.823529411764706,2.7058823529411766,2.4705882352941178,0.35294117647058826,1.9411764705882353,6.0588235294117645,1.7058823529411764,2.6470588235294117,2.176470588235294,3.1176470588235294,0.5496742671009772,0.49514563106796117,79.97630331753554,0.0866547567711863,1.4130434782608696,0.2725118483412322,0.41379310344827586,0.2815533980582524,0.4368932038834951,2.850945150294391,2.9748992872637126,5.57793616361946,2.045243259993802,Average,3,Poor,1,Poor,1,Average,3,Poor,1,Elite,5,Below Average,2,Very Good,4,Elite,5,Average,3,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
1397,7,Division I,uscsalkehatchie,Rolf Jenkins,,,,Wing,,,14,2.8075,3.0,2.45,3,9.5,2.642857142857143,1.0,0.9285714285714286,1.6428571428571428,0.07142857142857142,1.8571428571428572,8.0,6.214285714285714,1.2857142857142858,0.7857142857142857,1.8571428571428572,0.5545363575717145,0.5267857142857143,100.060186578393,0.08342748110767997,1.0769230769230769,0.09780318988865482,0.3448275862068966,0.7767857142857143,0.16071428571428573,0.9803921568627451,1.8099547511312217,2.7903469079939667,1.9607843137254901,Average,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1558,8,Division I,uscsalkehatchie,Liam Phillips,,,,Wing,,,10,2.75,3.1999999999999997,2.0,3,7.2,3.5,0.5,1.0,0.6,0.1,0.8,4.9,0.4,1.2,1.7,1.8,0.6632277081798084,0.6632653061224489,112.0099564405725,0.05598327817453405,0.5,0.1555693839452396,0.25,0.08163265306122448,0.24489795918367346,1.0548523206751055,0.7383966244725738,3.691983122362869,0.8438818565400844,Elite,5,Poor,1,Very Good,4,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1619,9,Division I,uscsalkehatchie,Filippo Zola,,,,Wing,,,10,2.7250000000000005,3.150000000000001,2.0,3,5.6,2.3,1.1,0.6,0.5,0.1,1.0,4.5,1.9,0.6,0.8,1.5,0.5877413937867338,0.5666666666666667,104.39970171513795,0.04648502495840267,1.8333333333333333,0.11185682326621924,0.3684210526315789,0.4222222222222222,0.13333333333333333,0.631578947368421,0.631578947368421,2.4210526315789473,1.0526315789473684,Very Good,4,Poor,1,Average,3,Very Good,4,Very Good,4,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2002,10,Division I,uscsalkehatchie,Zac Jenkins,,,,Wing,,,14,2.5824999999999996,2.55,2.45,3,5.642857142857143,3.2857142857142856,3.5714285714285716,1.9285714285714286,1.5,0.2857142857142857,1.7857142857142858,3.9285714285714284,1.3571428571428572,2.0714285714285716,1.0714285714285714,2.2142857142857144,0.582939787485242,0.5545454545454546,83.36850991979738,0.05947628731390124,1.8518518518518519,0.28493035035880115,0.2631578947368421,0.34545454545454546,0.5272727272727272,2.0361990950226243,1.885369532428356,3.469079939668175,1.885369532428356,Very Good,4,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2264,11,Division I,uscsalkehatchie,Ruben Borg,,,,Wing,,,16,2.5,2.7,2.0,3,11.0,3.625,1.75,0.875,1.25,0.0625,1.25,9.875,5.0,2.5,1.125,2.5,0.5011389521640092,0.46835443037974683,92.82700421940929,0.10371764293997944,2.0,0.07383966244725738,0.275,0.5063291139240507,0.25316455696202533,0.9247027741083224,1.3870541611624836,3.830911492734478,1.321003963011889,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3032,12,Division I,uscsalkehatchie,Aby Biniam,,,,Wing,,,14,2.29,1.6500000000000001,2.9000000000000004,3,4.357142857142857,4.642857142857143,1.0714285714285714,1.9285714285714286,0.9285714285714286,1.3571428571428572,1.8571428571428572,4.357142857142857,1.1428571428571428,1.7142857142857142,1.7142857142857142,2.9285714285714284,0.4262157629960872,0.39344262295081966,61.89123376623377,0.06186136426401548,0.5555555555555556,0.2739448051948052,0.125,0.26229508196721313,0.39344262295081966,2.0361990950226243,2.4132730015082955,4.901960784313726,1.9607843137254901,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
3679,13,Division I,uscsalkehatchie,Doous Alemdar,,,,Wing,,,13,2.125,1.95,2.0,3,6.384615384615385,2.5384615384615383,0.6153846153846154,1.1538461538461537,0.6153846153846154,0.0,1.4615384615384615,5.6923076923076925,3.230769230769231,1.0,0.6153846153846154,1.9230769230769231,0.5205720020070246,0.5,87.6266891891892,0.06384298077700791,0.5333333333333333,0.15836148648648649,0.2857142857142857,0.5675675675675675,0.17567567567567569,1.2205044751830756,0.6509357200976403,2.6851098454027666,1.545972335231896,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Below Average,2,Very Good,4,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
