MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
5,1,Division I,oliveharveycollege,Terrence Shannon,,,,Wing,,,13,4.26,4.75,4.1,3,17.76923076923077,5.0,4.923076923076923,0.7692307692307693,4.3076923076923075,0.38461538461538464,0.6923076923076923,10.076923076923077,3.769230769230769,5.384615384615385,0.7692307692307693,4.230769230769231,0.7138442521631644,0.6641221374045801,134.45867287543655,0.1822850352262117,6.4,0.05820721769499418,0.4489795918367347,0.37404580152671757,0.5343511450381679,1.1820330969267139,7.210401891252955,7.68321513002364,1.0638297872340425,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Elite,5,Unknown
6,2,Division I,oliveharveycollege,Browder Marcus,,,,Wing,,,13,4.234999999999999,4.699999999999999,4.1,3,18.153846153846153,4.846153846153846,2.3846153846153846,1.2307692307692308,2.0,0.23076923076923078,1.2307692307692308,12.153846153846153,4.230769230769231,4.076923076923077,1.0769230769230769,3.769230769230769,0.6507831458195455,0.620253164556962,119.6026758564768,0.20936253289194465,1.9375,0.08108655990269613,0.36363636363636365,0.34810126582278483,0.33544303797468356,1.8912529550827424,3.4278959810874703,7.446808510638298,1.8912529550827424,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Elite,5,Unknown
20,3,Division I,oliveharveycollege,Justin Jones,,,,Wing,,,8,4.1000000000000005,4.8500000000000005,3.5,3,18.0,6.125,2.0,0.75,1.0,0.25,0.25,10.5,3.375,4.75,1.75,4.375,0.7148530579825259,0.6964285714285714,134.93253373313343,0.19323531541971464,2.6666666666666665,0.05622188905547226,0.5555555555555556,0.32142857142857145,0.4523809523809524,1.2232415902140672,2.038735983690112,9.989806320081549,0.4077471967380224,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Elite,5,Elite,5,Unknown
146,4,Division I,oliveharveycollege,Jedidiah Adesoji Johnson,,,,Wing,,,13,3.6274999999999995,3.8,3.65,3,6.615384615384615,4.461538461538462,0.6923076923076923,0.23076923076923078,0.5384615384615384,1.5384615384615385,0.9230769230769231,4.461538461538462,0.7692307692307693,2.6153846153846154,1.1538461538461537,3.3076923076923075,0.5893640350877193,0.5344827586206896,113.21748288572932,0.08059587471352178,3.0,0.03949447077409162,0.6,0.1724137931034483,0.5862068965517241,0.3546099290780142,3.1914893617021276,6.855791962174941,1.4184397163120568,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Very Good,4,Very Good,4,Below Average,2,Elite,5,Elite,5,Unknown
155,5,Division I,oliveharveycollege,Isaiah Martinez,,,,Wing,,,13,3.5975,3.95,3.35,3,3.230769230769231,4.076923076923077,0.5384615384615384,0.3076923076923077,0.15384615384615385,1.5384615384615385,0.9230769230769231,2.0,0.5384615384615384,0.7692307692307693,0.8461538461538461,3.230769230769231,0.6907894736842105,0.6538461538461539,122.09302325581396,0.03649944826415415,1.75,0.11627906976744186,0.5714285714285714,0.2692307692307692,0.38461538461538464,0.4728132387706856,2.600472813238771,6.264775413711584,1.4184397163120568,Elite,5,Poor,1,Elite,5,Very Good,4,Very Good,4,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
168,6,Division I,oliveharveycollege,Kingston Caldwell,,,,Wing,,,13,3.5700000000000003,4.0,3.2,3,9.76923076923077,4.6923076923076925,1.0769230769230769,0.9230769230769231,1.3076923076923077,0.23076923076923078,1.0769230769230769,5.615384615384615,0.3076923076923077,4.615384615384615,1.2307692307692308,3.4615384615384617,0.6388329979879275,0.5684931506849316,114.00359066427288,0.1181987946693829,1.1666666666666667,0.10771992818671454,0.25,0.0547945205479452,0.821917808219178,1.4184397163120568,2.3640661938534278,7.210401891252955,1.6548463356973995,Elite,5,Poor,1,Elite,5,Average,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
556,7,Division I,oliveharveycollege,Amare Adams,,,,Wing,,,10,3.1500000000000004,4.0,2.0,3,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,1.1363636363636362,,227.27272727272725,0.001777442637078531,99.0,0.0,,,,0.0,0.0,0.29673590504451036,0.0,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,N/A,3,N/A,3,N/A,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
594,8,Division I,oliveharveycollege,Ford Jayden,,,,Wing,,,13,3.1275000000000004,2.8000000000000003,3.65,3,4.538461538461538,4.615384615384615,0.5384615384615384,0.5384615384615384,0.3076923076923077,1.3846153846153846,0.6153846153846154,3.3076923076923075,0.8461538461538461,1.6923076923076923,1.3076923076923077,3.3076923076923075,0.5599848139711465,0.5465116279069767,98.86058981233244,0.06332229861641626,1.0,0.11729222520107238,0.45454545454545453,0.2558139534883721,0.5116279069767442,0.8274231678486997,2.600472813238771,7.092198581560283,0.9456264775413712,Average,3,Poor,1,Below Average,2,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Very Good,4,Very Good,4,Below Average,2,Elite,5,Elite,5,Unknown
605,9,Division I,oliveharveycollege,Etling Jr. Lawrence,,,,Wing,,,13,3.125,3.9499999999999997,2.0,3,11.153846153846153,4.153846153846154,1.0769230769230769,0.7692307692307693,0.6923076923076923,0.0,0.6923076923076923,7.846153846153846,1.6153846153846154,2.8461538461538463,0.8461538461538461,3.3076923076923075,0.6129523165370308,0.5833333333333334,113.03398815091987,0.13610898905016552,1.4,0.07795447458684128,0.23809523809523808,0.20588235294117646,0.3627450980392157,1.1820330969267139,1.0638297872340425,6.382978723404255,1.0638297872340425,Elite,5,Below Average,2,Very Good,4,Average,3,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
735,10,Division I,oliveharveycollege,Royce Parran,,,,Wing,,,6,3.05,3.8000000000000003,2.0,3,1.6666666666666667,1.0,0.5,0.0,0.6666666666666666,0.0,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,1.25,1.25,250.0,0.009201324990798674,99.0,0.0,1.0,0.5,0.0,0.0,1.0101010101010102,1.5151515151515151,0.25252525252525254,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1134,11,Division I,oliveharveycollege,Brick Nkuga,,,,Wing,,,10,2.8499999999999996,3.4,2.0,3,2.2,0.3,0.0,0.0,0.0,0.0,0.2,1.8,0.3,0.1,0.0,0.3,0.596529284164859,0.6111111111111112,119.3058568329718,0.02539525147358563,,0.0,0.6666666666666666,0.16666666666666666,0.05555555555555555,0.0,0.0,0.4658385093167702,0.3105590062111801,Very Good,4,Poor,1,Elite,5,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2163,12,Division I,oliveharveycollege,Yabsa Nydiane,,,,Wing,,,11,2.4499999999999997,2.5999999999999996,2.0,3,1.4545454545454546,1.6363636363636365,0.8181818181818182,0.0,0.2727272727272727,0.18181818181818182,0.36363636363636365,1.1818181818181819,0.09090909090909091,0.9090909090909091,0.45454545454545453,1.1818181818181819,0.4597701149425288,0.38461538461538464,91.95402298850576,0.021614906832298136,99.0,0.0,0.0,0.07692307692307693,0.7692307692307693,0.0,0.6872852233676976,2.4742268041237114,0.5498281786941581,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2173,13,Division I,oliveharveycollege,Dwayne Halliburton,,,,Wing,,,8,2.4499999999999997,2.5999999999999996,2.0,3,0.75,1.5,0.25,0.125,0.375,0.125,0.625,1.625,0.5,0.5,0.25,1.25,0.2032520325203252,0.23076923076923078,38.07106598984772,0.026688342477816162,2.0,0.06345177664974619,0.0,0.3076923076923077,0.3076923076923077,0.18552875695732837,0.7421150278293135,2.226345083487941,0.9276437847866419,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
